voltage - Plot 0,current - Plot 0
0,-1.16E-07
-0.101695,1.16E-07
-0.20339,-1.39E-07
-0.305085,9.37E-08
-0.40678,-2.20E-07
-0.508475,-3.70E-07
-0.610169,-3.73E-07
-0.711864,-8.96E-07
-0.813559,-1.12E-06
-0.915254,-1.11E-06
-1.01695,-1.44E-06
-1.11864,-1.73E-06
-1.22034,-1.77E-06
-1.32203,-1.80E-06
-1.42373,-2.02E-06
-1.52542,-2.30E-06
-1.62712,-2.02E-06
-1.72881,-2.52E-06
-1.83051,-2.39E-06
-1.9322,-2.55E-06
-2.0339,-2.51E-06
-2.13559,-2.71E-06
-2.23729,-2.63E-06
-2.33898,-2.95E-06
-2.44068,-2.80E-06
-2.54237,-3.04E-06
-2.64407,-3.05E-06
-2.74576,-3.31E-06
-2.84746,-3.25E-06
-2.94915,-3.53E-06
-3.05085,-3.47E-06
-3.15254,-3.72E-06
-3.25424,-3.70E-06
-3.35593,-4.04E-06
-3.45763,-4.01E-06
-3.55932,-4.25E-06
-3.66102,-4.08E-06
-3.76271,-4.15E-06
-3.86441,-4.29E-06
-3.9661,-4.26E-06
-4.0678,-4.49E-06
-4.16949,-4.38E-06
-4.27119,-4.58E-06
-4.37288,-4.41E-06
-4.47458,-4.58E-06
-4.57627,-4.52E-06
-4.67797,-4.81E-06
-4.77966,-4.67E-06
-4.88136,-4.86E-06
-4.98305,-4.77E-06
-5.08475,-4.97E-06
-5.18644,-4.76E-06
-5.28814,-4.95E-06
-5.38983,-4.90E-06
-5.49153,-5.12E-06
-5.59322,-5.02E-06
-5.69492,-5.13E-06
-5.79661,-5.00E-06
-5.89831,-5.28E-06
-6,-5.22E-06
-6,-5.32E-06
-5.89831,-5.28E-06
-5.79661,-5.27E-06
-5.69492,-5.11E-06
-5.59322,-5.13E-06
-5.49153,-5.14E-06
-5.38983,-4.94E-06
-5.28814,-4.89E-06
-5.18644,-5.11E-06
-5.08475,-5.01E-06
-4.98305,-5.07E-06
-4.88136,-4.90E-06
-4.77966,-4.77E-06
-4.67797,-4.73E-06
-4.57627,-4.92E-06
-4.47458,-4.76E-06
-4.37288,-4.74E-06
-4.27119,-4.80E-06
-4.16949,-4.59E-06
-4.0678,-4.66E-06
-3.9661,-4.46E-06
-3.86441,-4.67E-06
-3.76271,-4.40E-06
-3.66102,-4.41E-06
-3.55932,-4.28E-06
-3.45763,-4.47E-06
-3.35593,-4.33E-06
-3.25424,-4.31E-06
-3.15254,-4.05E-06
-3.05085,-4.02E-06
-2.94915,-4.03E-06
-2.84746,-3.89E-06
-2.74576,-4.06E-06
-2.64407,-3.80E-06
-2.54237,-3.90E-06
-2.44068,-3.57E-06
-2.33898,-3.74E-06
-2.23729,-3.52E-06
-2.13559,-3.52E-06
-2.0339,-3.21E-06
-1.9322,-3.02E-06
-1.83051,-3.10E-06
-1.72881,-3.02E-06
-1.62712,-2.78E-06
-1.52542,-2.76E-06
-1.42373,-2.26E-06
-1.32203,-2.04E-06
-1.22034,-1.99E-06
-1.11864,-1.68E-06
-1.01695,-1.62E-06
-0.915254,-9.92E-07
-0.813559,-7.68E-07
-0.711864,-5.86E-07
-0.610169,-2.16E-07
-0.508475,-1.55E-07
-0.40678,9.89E-08
-0.305085,-1.31E-07
-0.20339,-1.20E-07
-0.101695,6.27E-10
0,1.25E-07
0,-7.35E-08
0.101695,8.86E-08
0.20339,9.26E-08
0.305085,-1.16E-07
0.40678,-1.14E-07
0.508475,1.24E-07
0.610169,-1.16E-07
0.711864,1.29E-07
0.813559,-1.04E-07
0.915254,-6.63E-08
1.01695,1.06E-07
1.11864,-1.02E-07
1.22034,9.15E-08
1.32203,-3.46E-08
1.42373,-4.64E-08
1.52542,4.77E-08
1.62712,5.28E-09
1.72881,-6.84E-08
1.83051,6.88E-08
1.9322,1.82E-07
2.0339,4.62E-08
2.13559,2.89E-07
2.23729,3.26E-07
2.33898,2.19E-07
2.44068,3.98E-07
2.54237,4.39E-07
2.64407,2.84E-07
2.74576,5.02E-07
2.84746,4.31E-07
2.94915,3.36E-07
3.05085,5.64E-07
3.15254,4.49E-07
3.25424,4.29E-07
